timestamp,event,ear,mar
2026-08-16 10:44:58,DROWSY,0.213,22.008
2026-08-16 10:44:58,DROWSY,0.213,22.008
2026-08-16 10:44:58,DROWSY,0.214,20.025
2026-08-16 10:44:59,DROWSY,0.214,20.025
2026-08-16 10:44:59,DROWSY,0.214,20.025
2026-08-16 10:44:59,DROWSY,0.201,21.357
2026-08-16 10:44:59,DROWSY,0.201,21.357
2026-08-16 10:44:59,DROWSY,0.201,21.357
2026-08-16 10:44:59,DROWSY,0.18,22.038
2026-08-16 10:44:59,DROWSY,0.18,22.038
2026-08-16 10:44:59,DROWSY,0.18,22.038
2026-08-16 10:45:01,DROWSY,0.118,24.014
2026-08-16 10:45:01,DROWSY,0.118,24.014
2026-08-16 10:45:01,DROWSY,0.118,24.014
2026-08-16 10:45:01,DROWSY,0.157,25.673
2026-08-16 10:45:01,DROWSY,0.157,25.673
2026-08-16 10:45:01,DROWSY,0.157,25.673
2026-08-16 10:45:01,DROWSY,0.108,23.348
2026-08-16 10:45:01,DROWSY,0.108,23.348
2026-08-16 10:45:01,DROWSY,0.108,23.348
2026-08-16 10:45:01,DROWSY,0.174,24.035
2026-08-16 10:45:01,DROWSY,0.174,24.035
2026-08-16 10:45:01,DROWSY,0.174,24.035
2026-08-16 10:45:01,DROWSY,0.196,22.341
2026-08-16 10:45:01,DROWSY,0.196,22.341
2026-08-16 10:45:01,DROWSY,0.196,22.341
2026-08-16 10:45:01,DROWSY,0.246,20.683
2026-08-16 10:45:01,DROWSY,0.246,20.683
2026-08-16 10:45:01,DROWSY,0.246,20.683
2026-08-16 10:45:01,DROWSY,0.228,23.348
2026-08-16 10:45:01,DROWSY,0.228,23.348
2026-08-16 10:45:01,DROWSY,0.228,23.348
2026-08-16 10:45:01,DROWSY,0.228,23.348
2026-08-16 10:45:01,DROWSY,0.224,26.033
2026-08-16 10:45:01,DROWSY,0.224,26.033
2026-08-16 10:45:01,DROWSY,0.224,26.033
2026-08-16 10:45:01,DROWSY,0.223,24.035
2026-08-16 10:45:02,DROWSY,0.223,24.035
2026-08-16 10:45:02,DROWSY,0.223,24.035
2026-08-16 10:45:02,DROWSY,0.224,24.014
2026-08-16 10:45:02,DROWSY,0.224,24.014
2026-08-16 10:45:02,DROWSY,0.224,24.014
2026-08-16 10:45:02,DROWSY,0.176,25.34
2026-08-16 10:45:02,DROWSY,0.176,25.34
2026-08-16 10:45:02,DROWSY,0.176,25.34
2026-08-16 10:45:02,DROWSY,0.237,25.347
2026-08-16 10:45:02,DROWSY,0.237,25.347
2026-08-16 10:45:02,DROWSY,0.237,25.347
2026-08-16 10:45:02,DROWSY,0.24,23.674
2026-08-16 10:45:02,DROWSY,0.24,23.674
2026-08-16 10:45:02,DROWSY,0.24,23.674
2026-08-16 10:45:02,ALERT,0.259,23.341
2026-08-16 10:45:02,ALERT,0.259,23.341
2026-08-16 10:45:02,ALERT,0.259,23.341
2026-08-16 10:45:02,DROWSY,0.165,23.015
2026-08-16 10:45:02,DROWSY,0.165,23.015
2026-08-16 10:45:02,DROWSY,0.165,23.015
